Games,Sport,Event,TEST,Gender,Athlete(s),CountryCode,CountryName,Medal,Result,Unit,ResultInSeconds,POPULATION,GDP,,,
1980,Swimming,200m Breaststroke Men,MEN,MEN,Alb?n Vermes,HUN,Hungary,Silver,2:16.93,M:S:DD,136.93,10711.122,67549.20943,,,
1980,Swimming,200m Breaststroke Men,MEN,MEN,Arsen Miskarov,URS,Russia,Bronze,2:17.28,M:S:DD,137.28,265935.636,1709174,,,
2004,Rowing,Lightweight Double Sculls Women,WOMEN,WOMEN,"Angela Alupei, Constanta Burcica-Pipota",ROM,Romania,Gold,6:56.05,M:S:DD,416.05,1295733.978,6187983,,,
2000,Rowing,Lightweight Double Sculls Women,WOMEN,WOMEN,"Constanta Burcica-Pipota, Angela Alupei",ROM,Romania,Gold,7:02.64,M:S:DD,422.64,15907.853,343756.134,,,
1996,Rowing,Lightweight Double Sculls Women,WOMEN,WOMEN,"Constanta Burcica-Pipota, Camelia Macoviciuc",ROM,Romania,Gold,7:12.78,M:S:DD,432.78,269667.391,6803768.743,,,
1980,Swimming,200m Butterfly Men,MEN,MEN,Sergey Fesenko,URS,Russia,Gold,1:59.76,M:S:DD,119.76,265935.636,1709174,,,
1980,Swimming,200m Butterfly Men,MEN,MEN,Phillip Hubble,GBR,Great Britain,Silver,2:01.20,M:S:DD,121.2,56314,728224,,,
1980,Swimming,200m Butterfly Men,MEN,MEN,Roger Pyttel,GDR,Germany,Bronze,2:01.39,M:S:DD,121.39,78297.904,1105099,,,
2012,Athletics,Marathon Women,WOMEN,WOMEN,Tiki GELANA,ETH,Ethiopia,Gold,2:23:07,H:MM:SS,8587.00,303824.646,8944193.284,,,
2008,Athletics,Marathon Women,WOMEN,WOMEN,Constantina Tomescu,ROM,Romania,Gold,2:26:44,H:MM:SS,8804,4156.119,99989.27492,,,
2004,Athletics,Marathon Women,WOMEN,WOMEN,Mizuki Noguchi,JPN,Japan,Gold,2:26:20,H:MM:SS,8780,293027.571,8430760,,,
1980,Swimming,200m Freestyle Men,MEN,MEN,Sergey Koplyakov,URS,Russia,Gold,1:49.81,M:S:DD,109.81,265935.636,1709174,,,
1980,Swimming,200m Freestyle Men,MEN,MEN,Andrey Krylov,URS,Russia,Silver,1:50.76,M:S:DD,110.76,265935.636,1709174,,,
1980,Swimming,200m Freestyle Men,MEN,MEN,Graeme Brewer,AUS,Australia,Bronze,1:51.60,M:S:DD,111.6,14615.9,210642,,,
2000,Athletics,Marathon Women,WOMEN,WOMEN,Naoko Takahashi,JPN,Japan,Gold,2:23:14,H:MM:SS,8594,59522.468,1199909.823,,,
1996,Athletics,Marathon Women,WOMEN,WOMEN,Fatuma Roba,ETH,Ethiopia,Gold,2:26.05,H:MM:SS,8765,42311.979,160561,,,
1992,Athletics,Marathon Women,WOMEN,WOMEN,Valentina Yegorova,URS,Russia,Gold,2:32:41,H:MM:SS,9161,80597.764,1361341.41,,,
1980,Swimming,400m Freestyle Men,MEN,MEN,Vladimir Salnikov,URS,Russia,Gold,3:51.31,M:S:DD,231.31,265935.636,1709174,,,
1980,Swimming,400m Freestyle Men,MEN,MEN,Andrey Krylov,URS,Russia,Silver,3:53.24,M:S:DD,233.24,265935.636,1709174,,,
1980,Swimming,400m Freestyle Men,MEN,MEN,Ivar Stukolkin,URS,Russia,Bronze,3:53.95,M:S:DD,233.95,265935.636,1709174,,,
1988,Athletics,Marathon Women,WOMEN,WOMEN,Rosa Mota,POR,Portugal,Gold,2:25:40,H:MM:SS,8740,51422.963,0,,,
1984,Athletics,Marathon Women,WOMEN,WOMEN,Joan Benoit,USA,United States of America,Gold,2:24:52,H:MM:SS,8692,1036825,1447262,,,
2012,Rowing,Quadruple Sculls Women,WOMEN,WOMEN,"Yana DEMENTYEVA, Kateryna TARASENKO, Anastasiia KOZHENKOVA, Nataliya DOVGODKO",UKR,Ukraine,Gold,06:35.9,M:S:DD,395.93,303824.646,8944193.284,,,
1980,Swimming,400m Individual Medley Men,MEN,MEN,Aleksandr Sidorenko,URS,Russia,Gold,4:22.89,M:S:DD,262.89,265935.636,1709174,,,
1980,Swimming,400m Individual Medley Men,MEN,MEN,Sergey Fesenko,URS,Russia,Silver,4:23.43,M:S:DD,263.43,265935.636,1709174,,,
1980,Swimming,400m Individual Medley Men,MEN,MEN,Zolt?n Verraszt?,HUN,Hungary,Bronze,4:24.24,M:S:DD,264.24,10711.122,67549.20943,,,
2008,Rowing,Quadruple Sculls Women,WOMEN,WOMEN,"Xi Aihua, Tang Bin, Jin Ziwei, Zhang Yangyang",CHN,China,Gold,6:16.06,M:S:DD,376.06,1326856.173,6373622.49,,,
2004,Rowing,Quadruple Sculls Women,WOMEN,WOMEN,"Manuela Lutze, Meike Evers, Kerstin El Qalqili-Kowalski, Kathrin Boron",GER,Germany,Gold,6:29.29,M:S:DD,389.29,32507.874,748363.033,,,
2000,Rowing,Quadruple Sculls Women,WOMEN,WOMEN,"Manuela Lutze, Manja Kowalski, Kerstin El Qalqili-Kowalski, Meike Evers",GER,Germany,Gold,6:19.58,M:S:DD,379.58,10137.449,72345.04952,,,
1996,Rowing,Quadruple Sculls Women,WOMEN,WOMEN,"Jana Sorgers, Katrin Rutschow-Stomporowski, Kathrin Boron, Kerstin K?ppen",GER,Germany,Gold,6:27.44,M:S:DD,387.44,81890.667,1426553.501,,,
1992,Rowing,Quadruple Sculls Women,WOMEN,WOMEN,"Kerstin M?ller, Kristina Mundt, Birgit Peter, Sybille Schmidt",GER,Germany,Gold,6:20.18,M:S:DD,380.18,80597.764,1361341.41,,,
1988,Rowing,Quadruple Sculls Women,WOMEN,WOMEN,"Kristina Mundt, Beate Schramm, Jana Sorgers, Kerstin F?rster",GDR,Germany,Gold,6:21.06,M:S:DD,381.06,78030.572,1260983,,,
1980,Swimming,4x100m Medley Relay Men,MEN,MEN,"Mark Kerry, Neil Brooks, Peter Evans, Mark Tonelli",AUS,Australia,Gold,3:45.70,M:S:DD,225.7,14615.9,210642,,,
1980,Swimming,4x100m Medley Relay Men,MEN,MEN,"Yevgeny Seredin, Sergey Koplyakov, Viktor Kuznetsov, Arsen Miskarov",URS,Russia,Silver,3:45.92,M:S:DD,225.92,265935.636,1709174,,,
1980,Swimming,4x100m Medley Relay Men,MEN,MEN,"David Lowe, Duncan Goodhew, Gary Abraham, Trevor Smith",GBR,Great Britain,Bronze,3:47.71,M:S:DD,227.71,56314,728224,,,
2012,Rowing,Single Sculls Women,WOMEN,WOMEN,Mirka KNAPKOVA,CZE,Czech Republic,Gold,07:54.4,M:S:DD,474.37,20600.856,487488.1085,,,
2008,Rowing,Single Sculls Women,WOMEN,WOMEN,Rumyana Neykova,BUL,Bulgaria,Gold,7:22.34,M:S:DD,442.34,20600.856,473289.4257,,,
2004,Rowing,Single Sculls Women,WOMEN,WOMEN,Katrin Rutschow-Stomporowski,GER,Germany,Gold,7:18.12,M:S:DD,438.12,82424.609,1577423.484,,,
1980,Swimming,4x200m Freestyle Relay Men,MEN,MEN,"Ivar Stukolkin, Vladimir Salnikov, Andrey Krylov, Sergey Koplyakov",URS,Russia,Gold,7:23.50,M:S:DD,443.5,265935.636,1709174,,,
1980,Swimming,4x200m Freestyle Relay Men,MEN,MEN,"Frank Pf?tze, Detlev Grabs, Rainer Strohbach, J?rg Woithe",GDR,Germany,Silver,7:28.60,M:S:DD,448.6,78297.904,1105099,,,
1980,Swimming,4x200m Freestyle Relay Men,MEN,MEN,"Djan Madruga, Jorge Fernandes, Ciro Marques Delgado, Marcus Mattioli",BRA,Brazil,Bronze,7:29.30,M:S:DD,449.3,122958.132,639093,,,
2000,Rowing,Single Sculls Women,WOMEN,WOMEN,Yekaterina Khodotovich,BLR,Belarus,Gold,7:28.14,M:S:DD,448.14,38654.164,278674.9317,,,
1996,Rowing,Single Sculls Women,WOMEN,WOMEN,Yekaterina Khodotovich,BLR,Belarus,Gold,7:32.21,M:S:DD,452.21,1217550,3521141,,,
1992,Rowing,Single Sculls Women,WOMEN,WOMEN,Elisabeta Lipa,ROM,Romania,Gold,7:25.54,M:S:DD,445.54,80597.764,1361341.41,,,
1976,Athletics,10000m Men,MEN,MEN,Lasse Vir?n,FIN,Finland,Gold,27:40.38,M:SS:DD,1660.38,4725.664,53676,,,
1976,Athletics,10000m Men,MEN,MEN,Carlos Sousa Lopes,POR,Portugal,Silver,27:45.17,M:SS:DD,1665.17,9621.97,65566,,,
1976,Athletics,10000m Men,MEN,MEN,Brendan Foster,GBR,Great Britain,Bronze,27:54.92,M:SS:DD,1674.92,56206,680933,,,
1988,Rowing,Single Sculls Women,WOMEN,WOMEN,Jutta Behrendt,GDR,Germany,Gold,7:47.19,M:S:DD,467.19,16520.206,274737,,,
2012,Athletics,10000m Women,WOMEN,WOMEN,Sally Jepkosgei KIPYEGO,KEN,Kenya,Silver,30:26.4,M:SS:DD,1826.37,303824.646,8944193.284,,,
2008,Athletics,10000m Women,WOMEN,WOMEN,Elvan Abeylegesse,TUR,Turkey,Silver,29:56.34,M:SS:DD,1796.34,82369.548,1624746.189,,,
1976,Athletics,100m Men,MEN,MEN,Hasely Crawford,TRI,Trinidad and Tobago,Gold,10.06,#:DD,10.06,1021.48,10059,,,
1976,Athletics,100m Men,MEN,MEN,Don Quarrie,JAM,Jamaica,Silver,10.08,#:DD,10.08,2133.388,7603,,,
1976,Athletics,100m Men,MEN,MEN,Valery Borzov,URS,Russia,Bronze,10.14,#:DD,10.14,256882.729,1634589,,,
2004,Athletics,10000m Women,WOMEN,WOMEN,Ejigayehu Dibaba,ETH,Ethiopia,Silver,30:24.98,M:SS:DD,1824.98,293027.571,8430760,,,
2000,Athletics,10000m Women,WOMEN,WOMEN,Gete Wami,ETH,Ethiopia,Silver,30:22.48,M:SS:DD,1822.48,5337.416,122579.8959,,,
1996,Athletics,10000m Women,WOMEN,WOMEN,Junxia Wang,CHN,China,Silver,31:02.58,M:SS:DD,1862.58,62209.971,36218.8109,,,
1976,Athletics,110m Hurdles Men,MEN,MEN,Guy Drut,FRA,France,Gold,13.3,#:DD,13.3,52953.613,729326,,,
1976,Athletics,110m Hurdles Men,MEN,MEN,Alejandro Casa?as,CUB,Cuba,Silver,13.33,#:DD,13.33,9420.906,22974,,,
1976,Athletics,110m Hurdles Men,MEN,MEN,Willie Davenport,USA,United States of America,Bronze,13.38,#:DD,13.38,218035,3701163,,,
1976,Athletics,1500m Men,MEN,MEN,John Walker,NZL,New Zealand,Gold,3:39.17,M:SS:DD,219.17,3153.55,39887,,,
1976,Athletics,1500m Men,MEN,MEN,Ivo van Damme,BEL,Belgium,Silver,3:39.27,M:SS:DD,219.27,9811,128743,,,
1976,Athletics,1500m Men,MEN,MEN,Paul-Heinz Wellmann,FRG,Germany,Bronze,3:39.33,M:SS:DD,219.33,78298.957,993132,,,
1992,Athletics,10000m Women,WOMEN,WOMEN,Elana Meyer,RSA,South Africa,Silver,31:11.75,M:SS:DD,1871.75,58179.144,326669.6233,,,
1988,Athletics,10000m Women,WOMEN,WOMEN,Elizabeth McColgan,GBR,Great Britain,Silver,31:08.44,M:SS:DD,1868.44,55873.463,961287,,,
2012,Swimming,100m Backstroke Women,WOMEN,WOMEN,Emily SEEBOHM,AUS,Australia,Silver,58.68,#:DD,58.68,303824.646,8944193.284,,,
1976,Athletics,200m Men,MEN,MEN,Don Quarrie,JAM,Jamaica,Gold,20.23,#:DD,20.23,2133.388,7603,,,
1976,Athletics,200m Men,MEN,MEN,Millard Hampton,USA,United States of America,Silver,20.29,#:DD,20.29,218035,3701163,,,
1976,Athletics,200m Men,MEN,MEN,Dwayne Evans,USA,United States of America,Bronze,20.43,#:DD,20.43,218035,3701163,,,
2008,Swimming,100m Backstroke Women,WOMEN,WOMEN,Kirsty Conventry,ZIM,Zimbabwe,Silver,59.19,M:S:DD,59.19,2801.544,10191.85,,,
2004,Swimming,100m Backstroke Women,WOMEN,WOMEN,Kirsty Coventry,ZIM,Zimbabwe,Silver,1:00.50,M:S:DD,60.5,47309.706,169088.4588,,,
2000,Swimming,100m Backstroke Women,,WOMEN,Mai Nakamura,JPN,Japan,Silver,1:00.55,M:S:DD,60.55,38654.164,278674.9317,,,
1976,Athletics,20km Walk Men,MEN,MEN,Daniel Bautista,MEX,Mexico,Gold,1:24:40,H:MM:SS,5080,62219.964,326267,,,
1976,Athletics,20km Walk Men,MEN,MEN,Hans-Georg Reimann,GDR,Germany,Silver,1:25:13,H:MM:SS,5113,78298.957,993132,,,
1976,Athletics,20km Walk Men,MEN,MEN,Peter Frenkel,GDR,Germany,Bronze,1:25:29,H:MM:SS,5129,78298.957,993132,,,
1976,Athletics,3000m Steeplechase Men,MEN,MEN,Anders G?rderud,SWE,Sweden,Gold,8:08.2,M:SS:DD,488.2,8222.31,117428,,,
1976,Athletics,3000m Steeplechase Men,MEN,MEN,Bronislaw Malinowski,POL,Poland,Silver,8:09.2,M:SS:DD,489.2,34299.428,202208.9997,,,
1976,Athletics,3000m Steeplechase Men,MEN,MEN,Frank Baumgartl,GDR,Germany,Bronze,8:10.4,M:SS:DD,490.4,78298.957,993132,,,
1976,Athletics,400m Hurdles Men,MEN,MEN,Edwin Moses,USA,United States of America,Gold,47.64,#:DD,47.64,218035,3701163,,,
1976,Athletics,400m Hurdles Men,MEN,MEN,Michael Shine,USA,United States of America,Silver,48.69,#:DD,48.69,218035,3701163,,,
1976,Athletics,400m Hurdles Men,MEN,MEN,Yevgeny Gavrilenko,URS,Russia,Bronze,49.45,#:DD,49.45,256882.729,1634589,,,
1976,Athletics,400m Men,MEN,MEN,Alberto Juantorena,CUB,Cuba,Gold,44.26,#:DD,44.26,9420.906,22974,,,
1976,Athletics,400m Men,MEN,MEN,Fred Newhouse,USA,United States of America,Silver,44.4,#:DD,44.4,218035,3701163,,,
1976,Athletics,400m Men,MEN,MEN,Herman Frazier,USA,United States of America,Bronze,44.95,#:DD,44.95,218035,3701163,,,
1996,Swimming,100m Backstroke Women,,WOMEN,Whitney Hedgepeth,USA,United States of America,Silver,1:01.47,M:S:DD,61.47,269667.391,6803768.743,,,
1992,Swimming,100m Backstroke Women,,WOMEN,T?nde Szab?,HUN,Hungary,Silver,1:01.14,M:S:DD,61.14,56840.847,945660.1539,,,
1988,Swimming,100m Backstroke Women,,WOMEN,Krisztina Egerszegi,HUN,Hungary,Silver,1:01.56,M:S:DD,61.56,245021.414,5512845,,,
1976,Athletics,4x100m Relay Men,MEN,MEN,"Harvey Glance, Millard Hampton, John Jones, Steven Riddick",USA,United States of America,Gold,38.33,#:DD,38.33,218035,3701163,,,
1976,Athletics,4x100m Relay Men,MEN,MEN,"J?rg Pfeifer, Alexander Thieme, Manfred Kokot, Klaus-Dieter Kurrat",GDR,Germany,Silver,38.66,#:DD,38.66,78298.957,993132,,,
1976,Athletics,4x100m Relay Men,MEN,MEN,"Nikolay Kolesnikov, Valery Borzov, Aleksandr Aksinin, Juris Silovs",URS,Russia,Bronze,38.78,#:DD,38.78,256882.729,1634589,,,
1984,Swimming,100m Backstroke Women,,WOMEN,Betsy Mitchell,USA,United States of America,Silver,1:02.63,M:S:DD,62.63,236348.292,4755958,,,
1980,Swimming,100m Backstroke Women,WOMEN,WOMEN,Ina Kleber,GDR,Germany,Silver,1:02.07,M:S:DD,62.07,265935.636,1709174,,,
1976,Swimming,100m Backstroke Women,WOMEN,WOMEN,Birgit Treiber,GDR,Germany,Silver,1:03.41,M:S:DD,63.41,13915.5,188678,,,
1976,Athletics,4x400m Relay Men,MEN,MEN,"Fred Newhouse, Maxie Parks, Benjamin Brown, Herman Frazier",USA,United States of America,Gold,2:58.65,M:SS:DD,178.65,218035,3701163,,,
1976,Athletics,4x400m Relay Men,MEN,MEN,"Zbigniew Jaremski, Jerzy Pietrzyk, Ryszard Podlas, Jan Werner",POL,Poland,Silver,3:01.43,M:SS:DD,181.43,34299.428,202208.9997,,,
1976,Athletics,4x400m Relay Men,MEN,MEN,"Harald Schmid, Lothar Krieg, Bernd Herrmann, Franz-Peter Hofmeister",FRG,Germany,Bronze,3:01.98,M:SS:DD,181.98,78298.957,993132,,,
1972,Swimming,100m Backstroke Women,WOMEN,WOMEN,Andrea Gyarmati,HUN,Hungary,Silver,1:06.26,M:S:DD,66.26,13177,163453,,,
1968,Swimming,100m Backstroke Women,WOMEN,WOMEN,Elaine Tanner,CAN,Canada,Silver,1:06.7,M:S:DD,66.7,76584.401,755463,,,
1964,Swimming,100m Backstroke Women,WOMEN,WOMEN,Kiki Caron,FRA,France,Silver,1:07.9,M:S:DD,67.9,10263.542,50641.3479,,,
1976,Athletics,5000m Men,MEN,MEN,Lasse Vir?n,FIN,Finland,Gold,13:24.76,M:SS:DD,804.76,4725.664,53676,,,
1976,Athletics,5000m Men,MEN,MEN,Dick Quax,NZL,New Zealand,Silver,13:25.16,M:SS:DD,805.16,3153.55,39887,,,
1976,Athletics,5000m Men,MEN,MEN,Klaus-Peter Hildenbrand,FRG,Germany,Bronze,13:25.38,M:SS:DD,805.38,78298.957,993132,,,
1976,Athletics,800m Men,MEN,MEN,Alberto Juantorena,CUB,Cuba,Gold,1:43.50,M:SS:DD,103.5,9420.906,22974,,,
1976,Athletics,800m Men,MEN,MEN,Ivo van Damme,BEL,Belgium,Silver,1:43.86,M:SS:DD,103.86,9811,128743,,,
1976,Athletics,800m Men,MEN,MEN,Richard Wohlhuter,USA,United States of America,Bronze,1:44.12,M:SS:DD,104.12,218035,3701163,,,
1960,Swimming,100m Backstroke Women,WOMEN,WOMEN,Natalie Steward,GBR,Great Britain,Silver,1:10.8,M:S:DD,70.8,180671,2046727,,,
1956,Swimming,100m Backstroke Women,WOMEN,WOMEN,Carin Cone,USA,United States of America,Silver,1:12.9,M:S:DD,72.9,9500.606,77034,,,
1952,Swimming,100m Backstroke Women,WOMEN,WOMEN,Geertje Wielema,NED,Netherlands,Silver,1:14.5,M:S:DD,74.5,185855.87,545792,,,
1976,Athletics,Marathon Men,MEN,MEN,Waldemar Cierpinski,GDR,Germany,Gold,2:09:55,H:MM:SS,7795,78298.957,993132,,,
1976,Athletics,Marathon Men,MEN,MEN,Frank Shorter,USA,United States of America,Silver,2:10:45,H:MM:SS,7845,218035,3701163,,,
1976,Athletics,Marathon Men,MEN,MEN,Karel Lismont,BEL,Belgium,Bronze,2:11:12,H:MM:SS,7872,9811,128743,,,
1976,Canoeing,C1 1000m Canadian Singles Men,MEN,MEN,Matija Ljubek,YUG,Yugoslavia,Gold,4:09.51,M:S:DD,249.51,20929.536,103374.8837,,,
1976,Canoeing,C1 1000m Canadian Singles Men,MEN,MEN,Vasily Yurchenko,URS,Russia,Silver,4:12.57,M:S:DD,252.57,256882.729,1634589,,,
1976,Canoeing,C1 1000m Canadian Singles Men,MEN,MEN,Tam?s Wichmann,HUN,Hungary,Bronze,4:14.11,M:S:DD,254.11,10588.729,61315.66904,,,
1976,Canoeing,C1 500m Canadian Singles Men,MEN,MEN,Aleksandr Rogov,URS,Russia,Gold,1:59.23,M:S:DD,119.23,256882.729,1634589,,,
1976,Canoeing,C1 500m Canadian Singles Men,MEN,MEN,John Wood,CAN,Canada,Silver,1:59.58,M:S:DD,119.58,23517.5,350467,,,
1976,Canoeing,C1 500m Canadian Singles Men,MEN,MEN,Matija Ljubek,YUG,Yugoslavia,Bronze,1:59.60,M:S:DD,119.6,20929.536,103374.8837,,,
1976,Canoeing,C2 1000m Canadian Pairs Men,MEN,MEN,"Sergey Petrenko, Aleksandr Vinogradov",URS,Russia,Gold,3:52.76,M:S:DD,232.76,256882.729,1634589,,,
1976,Canoeing,C2 1000m Canadian Pairs Men,MEN,MEN,"Gheorghe Simionov, Gheorghe Danilov",ROM,Romania,Silver,3:54.28,M:S:DD,234.28,21445.698,83997.81196,,,
1976,Canoeing,C2 1000m Canadian Pairs Men,MEN,MEN,"Tam?s Buday, Oszk?r Frey",HUN,Hungary,Bronze,3:55.66,M:S:DD,235.66,10588.729,61315.66904,,,
1976,Canoeing,C2 500m Canadian Pairs Men,MEN,MEN,"Aleksandr Vinogradov, Sergey Petrenko",URS,Russia,Gold,1:45.81,M:S:DD,105.81,256882.729,1634589,,,
1976,Canoeing,C2 500m Canadian Pairs Men,MEN,MEN,"Andrzej Gronowicz, Jerzy Opara",POL,Poland,Silver,1:47.77,M:S:DD,107.77,34299.428,202208.9997,,,
1976,Canoeing,C2 500m Canadian Pairs Men,MEN,MEN,"Oszk?r Frey, Tam?s Buday",HUN,Hungary,Bronze,1:48.35,M:S:DD,108.35,10588.729,61315.66904,,,
1976,Canoeing,K1 1000m Kayak Singles Men,MEN,MEN,R?diger Helm,GDR,Germany,Gold,3:48.20,M:S:DD,228.2,78298.957,993132,,,
1976,Canoeing,K1 1000m Kayak Singles Men,MEN,MEN,G?za Csap?,HUN,Hungary,Silver,3:48.84,M:S:DD,228.84,10588.729,61315.66904,,,
1976,Canoeing,K1 1000m Kayak Singles Men,MEN,MEN,Vasile Diba,ROM,Romania,Bronze,3:49.65,M:S:DD,229.65,21445.698,83997.81196,,,
1976,Canoeing,K1 500m Kayak Singles Men,MEN,MEN,Vasile Diba,ROM,Romania,Gold,1:46.41,M:S:DD,106.41,21445.698,83997.81196,,,
1976,Canoeing,K1 500m Kayak Singles Men,MEN,MEN,Zolt?n Sztanity,HUN,Hungary,Silver,1:46.95,M:S:DD,106.95,10588.729,61315.66904,,,
1976,Canoeing,K1 500m Kayak Singles Men,MEN,MEN,R?diger Helm,GDR,Germany,Bronze,1:48.30,M:S:DD,108.3,78298.957,993132,,,
1948,Swimming,100m Backstroke Women,WOMEN,WOMEN,Winona Zimmerman,USA,United States of America,Silver,1:16.0,M:S:DD,76,147203,1334330.757,,,
1936,Swimming,100m Backstroke Women,WOMEN,WOMEN,Rie Mastenbroek,NED,Netherlands,Silver,1:19.2,M:S:DD,79.2,47081,284141.77,,,
1932,Swimming,100m Backstroke Women,WOMEN,WOMEN,Bonnie Mealing,AUS,Australia,Silver,1:21.3,M:S:DD,81.3,41431,122140.3909,,,
1976,Canoeing,K2 1000m Kayak Pairs Men,MEN,MEN,"Sergey Nagorny, Vladimir Romanovsky",URS,Russia,Gold,3:29.01,M:S:DD,209.01,256882.729,1634589,,,
1976,Canoeing,K2 1000m Kayak Pairs Men,MEN,MEN,"Bernd Olbricht, Joachim Mattern",GDR,Germany,Silver,3:29.33,M:S:DD,209.33,78298.957,993132,,,
1976,Canoeing,K2 1000m Kayak Pairs Men,MEN,MEN,"Zolt?n Bak?, Istv?n Szab?",HUN,Hungary,Bronze,3:30.36,M:S:DD,210.36,10588.729,61315.66904,,,
1976,Canoeing,K2 500m Kayak Pairs Men,MEN,MEN,"Joachim Mattern, Bernd Olbricht",GDR,Germany,Gold,1:35.87,M:S:DD,95.87,78298.957,993132,,,
1976,Canoeing,K2 500m Kayak Pairs Men,MEN,MEN,"Sergey Nagorny, Vladimir Romanovsky",URS,Russia,Silver,1:36.81,M:S:DD,96.81,256882.729,1634589,,,
1976,Canoeing,K2 500m Kayak Pairs Men,MEN,MEN,"Larion Serghei, Policarp Malihin",ROM,Romania,Bronze,1:37.43,M:S:DD,97.43,21445.698,83997.81196,,,
1928,Swimming,100m Backstroke Women,WOMEN,WOMEN,Ellen King,GBR,Great Britain,Silver,1:22.2,M:S:DD,82.2,169269,231886,,,
1924,Swimming,100m Backstroke Women,WOMEN,WOMEN,Phyllis Harding,GBR,Great Britain,Silver,1:27.4,M:S:DD,87.4,3272,7277.071,,,
2012,Swimming,100m Breaststroke Women,,WOMEN,Rebecca SONI,USA,United States of America,Silver,01:05.5,M:S:DD,65.55,303824.646,8944193.284,,,
1976,Canoeing,K4 1000m Kayak Fours Men,MEN,MEN,"Sergey Chukhray, Aleksandr Degtyarev, Yury Filatov, Vladimir Morozov",URS,Russia,Gold,3:08.69,M:S:DD,188.69,256882.729,1634589,,,
1976,Canoeing,K4 1000m Kayak Fours Men,MEN,MEN,"Jos? L?pez, Herminio Men?ndez, Luis Miguez, Jos? Esteban",ESP,Spain,Silver,3:08.95,M:S:DD,188.95,35996.78,309546,,,
1976,Canoeing,K4 1000m Kayak Fours Men,MEN,MEN,"Bernd Duvigneau, R?diger Helm, Frank-Peter Bischof, J?rgen Lehnert",GDR,Germany,Bronze,3:10.76,M:S:DD,190.76,78298.957,993132,,,
1976,Rowing,Coxless Fours Men,MEN,MEN,"Stefan Semmler, Wolfgang Mager, Siegfried Brietzke, Andreas Decker",GDR,Germany,Gold,6:37.42,M:S:DD,397.42,78298.957,993132,,,
1976,Rowing,Coxless Fours Men,MEN,MEN,"Arne Bergodd, Rolf Andreassen, Ole Nafstad, Finn Tveter",NOR,Norway,Silver,6:41.22,M:S:DD,401.22,4026.152,52058.16963,,,
1976,Rowing,Coxless Fours Men,MEN,MEN,"Nikolay Kuznetsov, Raul Arnemann, Valery Dolinin, Anushavan Gassan-Dzhalilov",URS,Russia,Bronze,6:42.52,M:S:DD,402.52,256882.729,1634589,,,
1976,Rowing,Coxless Pairs Men,MEN,MEN,"Bernd Landvoigt, J?rg Landvoigt",GDR,Germany,Gold,7:23.31,M:S:DD,443.31,78298.957,993132,,,
1976,Rowing,Coxless Pairs Men,MEN,MEN,"Michael Staines, Calvin Coffey",USA,United States of America,Silver,7:26.73,M:S:DD,446.73,218035,3701163,,,
1976,Rowing,Coxless Pairs Men,MEN,MEN,"Thomas Strau?, Peter van Roye",FRG,Germany,Bronze,7:30.03,M:S:DD,450.03,78298.957,993132,,,
1976,Rowing,Double Sculls Men,MEN,MEN,"Alf Hansen, Frank Hansen",NOR,Norway,Gold,7:13.20,M:S:DD,433.2,4026.152,52058.16963,,,
1976,Rowing,Double Sculls Men,MEN,MEN,"Michael Hart, Chris Baillieu",GBR,Great Britain,Silver,7:15.26,M:S:DD,435.26,56206,680933,,,
1976,Rowing,Double Sculls Men,MEN,MEN,"J?rgen Bertow, Hans-Ullrich Schmied",GDR,Germany,Bronze,7:17.45,M:S:DD,437.45,78298.957,993132,,,
1976,Rowing,Eights Men,MEN,MEN,"Dieter Wendisch, Karl-Heinz Prud?hl, Roland Kostulski, Hans-Joachim L?ck, Gottfried D?hn, Werner Klatt, Ulrich Karnatz, Karl-Heinz Danielowski, Bernd Baumgart",GDR,Germany,Gold,5:58.29,M:S:DD,358.29,78298.957,993132,,,
1976,Rowing,Eights Men,MEN,MEN,"Tim Crooks, Richard Clark, Hugh Matheson, David Maxwell, Richard Lester, Leonard Robertson, Patrick Sweeney, Frederick Smallbone, John Yallop",GBR,Great Britain,Silver,6:00.82,M:S:DD,360.82,56206,680933,,,
1976,Rowing,Eights Men,MEN,MEN,"Lindsay Wilson, Ivan Sutherland, Dave Rodger, Alex McLean, Trevor Coker, Simon Dickie, Peter Dignan, Athol Earl, Tony Hurt",NZL,New Zealand,Bronze,6:03.51,M:S:DD,363.51,3153.55,39887,,,
1976,Rowing,Quadruple Sculls Men,MEN,MEN,"R?diger Reiche, Karl-Heinz Bu?ert, Wolfgang G?ldenpfennig, Michael Wolfgramm",GDR,Germany,Gold,6:18.65,M:S:DD,378.65,78298.957,993132,,,
1976,Rowing,Quadruple Sculls Men,MEN,MEN,"Yury Yakimov, Vytautas Butkus, Yevgeny Duleyev, Aivars Lazdenieks",URS,Russia,Silver,6:19.89,M:S:DD,379.89,256882.729,1634589,,,
1976,Rowing,Quadruple Sculls Men,MEN,MEN,"Vladek Lacina, Zdenek Pecka, Jaroslav Hellebrand, V?clav Vochoska",CZE,Czech Republic,Bronze,6:21.77,M:S:DD,381.77,10105.143,79043.00663,,,
1976,Rowing,Single Sculls Men,MEN,MEN,Pertti Karppinen,FIN,Finland,Gold,7:29.03,M:S:DD,449.03,4725.664,53676,,,
